field,row,tree,yplant,year,month,nb_bunch,nb_fr,nb_abfr,,
050,31,21,2002,2022,1,1,10,,,
050,31,22,2002,2022,1,2,20,,,
050,32,2,2002,2022,1,0,0,,,
050,32,3,2002,2022,1,0,0,,,
050,32,4,2002,2022,1,0,0,,,
050,32,5,2002,2022,1,1,3,,,
050,32,6,2002,2022,1,0,0,,,
050,32,7,2002,2022,1,0,0,,,
050,32,8,2002,2022,1,0,0,,,
050,32,9,2002,2022,1,0,0,,,
050,32,10,2002,2022,1,1,5,,,
050,32,11,2002,2022,1,2,15,,,
050,32,12,2002,2022,1,1,12,,,
050,32,13,2002,2022,1,1,15,,,
050,32,14,2002,2022,1,0,0,,,
050,32,15,2002,2022,1,0,0,,,
050,32,16,2002,2022,1,1,10,,,
050,32,17,2002,2022,1,0,0,,,
050,32,18,2002,2022,1,0,0,,,
050,32,19,2002,2022,1,1,10,,,
050,32,20,2002,2022,1,1,5,,,
050,32,21,2002,2022,1,1,11,,,
050,32,22,2002,2022,1,1,13,,,
050,33,2,2002,2022,1,0,0,,,
050,33,3,2002,2022,1,1,3,,,
050,33,4,2002,2022,1,2,10,,,
050,33,5,2002,2022,1,1,4,,,
050,33,6,2002,2022,1,0,0,,,
050,33,7,2002,2022,1,1,7,,,
050,33,8,2002,2022,1,0,0,,,
050,33,9,2002,2022,1,0,0,,,
050,33,10,2002,2022,1,0,0,,,
050,33,11,2002,2022,1,2,15,,,
050,33,12,2002,2022,1,0,0,,,
050,33,13,2002,2022,1,0,0,,,
050,33,14,2002,2022,1,1,8,,,
050,33,15,2002,2022,1,1,7,,,
050,33,16,2002,2022,1,1,5,,,
050,33,17,2002,2022,1,0,0,,,
050,33,18,2002,2022,1,1,7,,,
050,33,19,2002,2022,1,1,6,,,
050,33,20,2002,2022,1,1,14,,,
050,33,21,2002,2022,1,1,8,,,
050,33,22,2002,2022,1,1,7,,,
050,34,1,2002,2022,1,0,0,,,
050,34,3,2002,2022,1,0,0,,,
050,34,4,2002,2022,1,1,6,,,
050,34,5,2002,2022,1,1,3,,,
050,34,6,2002,2022,1,0,0,,,
050,34,7,2002,2022,1,1,2,,,
050,34,8,2002,2022,1,1,3,,,
050,34,9,2002,2022,1,1,4,,,
050,34,10,2002,2022,1,1,4,,,
050,34,11,2002,2022,1,1,6,,,
050,34,12,2002,2022,1,0,0,,,
050,34,13,2002,2022,1,0,0,,,
050,34,15,2002,2022,1,1,6,,,
050,34,17,2002,2022,1,1,8,,,
050,34,18,2002,2022,1,0,0,,,
050,34,19,2002,2022,1,0,0,,,
050,34,20,2002,2022,1,0,0,,,
050,34,21,2002,2022,1,1,3,,,
050,34,22,2002,2022,1,0,0,,,
050,35,1,2002,2022,1,0,0,,,
050,35,2,2002,2022,1,1,8,,,
050,35,4,2002,2022,1,0,0,,,
050,35,5,2002,2022,1,1,10,,,
050,35,9,2002,2022,1,0,0,,,
050,35,10,2002,2022,1,1,3,,,
050,35,11,2002,2022,1,1,6,,,
050,35,12,2002,2022,1,1,9,,,
050,35,13,2002,2022,1,0,0,,,
050,35,14,2002,2022,1,1,7,,,
050,35,15,2002,2022,1,1,12,,,
050,35,16,2002,2022,1,0,0,,,
050,35,17,2002,2022,1,2,6,,,
050,35,18,2002,2022,1,2,17,,,
050,35,19,2002,2022,1,2,18,,,
050,35,20,2002,2022,1,1,10,,,
050,35,21,2002,2022,1,2,7,,,
050,35,22,2002,2022,1,2,15,,,
050,36,1,2002,2022,1,2,12,,,
050,36,3,2002,2022,1,0,0,,,
050,36,4,2002,2022,1,1,7,,,
050,36,5,2002,2022,1,1,3,,,
050,36,6,2002,2022,1,2,13,,,
050,36,7,2002,2022,1,0,0,,,
050,36,8,2002,2022,1,2,16,,,
050,36,9,2002,2022,1,1,7,,,
050,36,10,2002,2022,1,2,16,,,
050,36,11,2002,2022,1,2,20,,,
050,36,12,2002,2022,1,1,5,,,
050,36,13,2002,2022,1,2,10,,,
050,36,14,2002,2022,1,0,0,,,
050,36,15,2002,2022,1,1,4,,,
050,36,16,2002,2022,1,2,25,,,
050,36,18,2002,2022,1,2,18,,,
050,36,19,2002,2022,1,2,13,,,
050,36,20,2002,2022,1,1,9,,,
050,36,21,2002,2022,1,1,4,,,
050,36,22,2002,2022,1,2,24,,,
050,37,1,2002,2022,1,2,12,,,
050,37,3,2002,2022,1,1,7,,,
050,37,4,2002,2022,1,0,0,,,
050,37,5,2002,2022,1,1,7,,,
050,37,6,2002,2022,1,1,3,,,
050,37,7,2002,2022,1,0,0,,,
050,37,8,2002,2022,1,1,5,,,
050,37,9,2002,2022,1,1,5,,,
050,37,10,2002,2022,1,1,3,,,
050,37,11,2002,2022,1,1,3,,,
050,37,12,2002,2022,1,2,10,,,
050,37,13,2002,2022,1,2,10,,,
050,37,14,2002,2022,1,1,6,,,
050,37,15,2002,2022,1,1,8,,,
050,37,16,2002,2022,1,1,9,,,
050,37,17,2002,2022,1,1,9,,,
050,37,18,2002,2022,1,1,9,,,
050,37,19,2002,2022,1,1,5,,,
050,37,20,2002,2022,1,0,0,,,
050,37,21,2002,2022,1,1,7,,,
050,37,22,2002,2022,1,0,0,,,
050,38,1,2002,2022,1,1,7,,,
050,38,2,2002,2022,1,0,0,,,
050,38,3,2002,2022,1,1,4,,,
050,38,4,2002,2022,1,0,0,,,
050,38,5,2002,2022,1,0,0,,,
050,38,6,2002,2022,1,1,4,,,
050,38,7,2002,2022,1,1,5,,,
050,38,8,2002,2022,1,1,9,,,
050,38,9,2002,2022,1,0,0,,,
050,38,10,2002,2022,1,2,10,,,
050,38,11,2002,2022,1,0,0,,,
050,38,12,2002,2022,1,2,10,,,
050,38,13,2002,2022,1,1,4,,,
050,38,14,2002,2022,1,0,0,,,
