field,row,tree,yplant,year,month,nb_bunch,nb_fr,nb_abfr,
081,27,6,2002,2022,6,2,16,,
081,27,7,2002,2022,6,0,0,,
081,27,8,2002,2022,6,1,1,,
081,27,10,2002,2022,6,1,1,,
081,27,11,2002,2022,6,3,40,,
081,27,12,2002,2022,6,0,0,,
081,27,13,2002,2022,6,3,42,,
081,27,14,2002,2022,6,0,0,,
081,27,15,2002,2022,6,2,24,,
081,27,19,2002,2022,6,0,0,,
081,27,20,2002,2022,6,1,2,,
081,27,21,2002,2022,6,1,1,,
081,27,22,2002,2022,6,1,13,,
081,27,23,2002,2022,6,0,0,,
081,27,24,2002,2022,6,1,2,,
081,27,25,2002,2022,6,1,3,,
081,28,1,2002,2022,6,0,0,,
081,28,3,2002,2022,6,1,14,,
081,28,4,2002,2022,6,1,3,,
081,28,5,2002,2022,6,0,0,,
081,28,6,2002,2022,6,0,0,,
081,28,7,2002,2022,6,0,0,,
081,28,8,2002,2022,6,1,12,,
081,28,9,2002,2022,6,1,10,,
081,28,10,2002,2022,6,2,20,,
081,28,11,2002,2022,6,0,0,,
081,28,12,2002,2022,6,0,0,,
081,28,13,2002,2022,6,2,21,,
081,28,14,2002,2022,6,1,6,,
081,28,15,2002,2022,6,1,14,,
081,28,16,2002,2022,6,0,0,,
081,28,17,2002,2022,6,2,15,,
081,28,18,2002,2022,6,0,0,,
081,28,19,2002,2022,6,0,0,,
081,28,20,2002,2022,6,0,0,,
081,28,21,2002,2022,6,1,5,,
081,28,22,2002,2022,6,2,20,,
081,28,24,2002,2022,6,1,10,,
081,28,25,2002,2022,6,1,7,,
081,29,1,2002,2022,6,0,0,,
081,29,2,2002,2022,6,0,0,,
081,29,3,2002,2022,6,2,18,,
081,29,4,2002,2022,6,2,21,,
081,29,5,2002,2022,6,1,10,,
081,29,6,2002,2022,6,1,2,,
081,29,7,2002,2022,6,0,0,,
081,29,8,2002,2022,6,0,0,,
081,29,9,2002,2022,6,0,0,,
081,29,10,2002,2022,6,0,0,,
081,29,12,2002,2022,6,1,6,,
081,29,13,2002,2022,6,0,0,,
081,29,14,2002,2022,6,2,22,,
081,29,15,2002,2022,6,1,10,,
081,29,16,2002,2022,6,0,0,,
081,29,17,2002,2022,6,0,0,,
081,29,18,2002,2022,6,0,0,,
081,29,19,2002,2022,6,0,0,,
081,29,20,2002,2022,6,0,0,,
081,29,21,2002,2022,6,1,16,,
081,29,22,2002,2022,6,1,12,,
081,29,23,2002,2022,6,2,20,,
081,29,24,2002,2022,6,1,13,,
081,29,25,2002,2022,6,1,2,,
081,30,2,2002,2022,6,0,0,,
081,30,3,2002,2022,6,1,4,,
081,30,4,2002,2022,6,0,0,,
081,30,5,2002,2022,6,1,7,,
081,30,6,2002,2022,6,0,0,,
081,30,7,2002,2022,6,0,0,,
081,30,8,2002,2022,6,0,0,,
081,30,9,2002,2022,6,0,0,,
081,30,12,2002,2022,6,0,0,,
081,30,13,2002,2022,6,1,7,,
081,30,14,2002,2022,6,0,0,,
081,30,15,2002,2022,6,0,0,,
081,30,16,2002,2022,6,0,0,,
081,30,17,2002,2022,6,1,2,,
081,30,18,2002,2022,6,1,6,,
081,30,19,2002,2022,6,0,0,,
081,30,20,2002,2022,6,1,8,,
081,30,21,2002,2022,6,1,6,,
081,30,22,2002,2022,6,1,10,,
081,30,23,2002,2022,6,1,5,,
081,30,24,2002,2022,6,0,0,,
081,30,25,2002,2022,6,2,18,,
081,31,1,2002,2022,6,0,0,,
081,31,2,2002,2022,6,0,0,,
081,31,3,2002,2022,6,0,0,,
081,31,4,2002,2022,6,0,0,,
081,31,6,2002,2022,6,0,0,,
081,31,7,2002,2022,6,0,0,,
081,31,8,2002,2022,6,0,0,,
081,31,9,2002,2022,6,0,0,,
081,31,10,2002,2022,6,0,0,,
081,31,11,2002,2022,6,3,34,,
081,31,12,2002,2022,6,0,0,,
081,31,13,2002,2022,6,1,14,,
081,31,14,2002,2022,6,0,0,,
081,31,15,2002,2022,6,0,0,,
081,31,16,2002,2022,6,0,0,,
081,31,17,2002,2022,6,1,14,,
081,31,18,2002,2022,6,3,32,,
081,31,19,2002,2022,6,0,0,,
081,31,20,2002,2022,6,0,0,,
081,31,21,2002,2022,6,0,0,,
081,31,22,2002,2022,6,0,0,,
081,31,23,2002,2022,6,0,0,,
081,31,24,2002,2022,6,1,6,,
081,31,25,2002,2022,6,0,0,,
081,32,1,2002,2022,6,1,8,,
081,32,2,2002,2022,6,1,10,,
081,32,3,2002,2022,6,0,0,,
081,32,4,2002,2022,6,0,0,,
081,32,6,2002,2022,6,0,0,,
081,32,7,2002,2022,6,1,1,,
081,32,8,2002,2022,6,1,8,,
081,32,9,2002,2022,6,0,0,,
081,32,10,2002,2022,6,0,0,,
081,32,11,2002,2022,6,0,0,,
081,32,12,2002,2022,6,0,0,,
081,32,13,2002,2022,6,0,0,,
081,32,14,2002,2022,6,0,0,,
081,32,15,2002,2022,6,0,0,,
081,32,17,2002,2022,6,2,16,,
081,32,18,2002,2022,6,0,0,,
081,32,19,2002,2022,6,2,22,,
081,32,20,2002,2022,6,0,0,,
081,32,21,2002,2022,6,0,0,,
081,32,22,2002,2022,6,0,0,,
081,32,23,2002,2022,6,1,1,,
081,32,24,2002,2022,6,1,6,,
081,32,25,2002,2022,6,0,0,,
081,33,1,2002,2022,6,3,40,,
081,33,2,2002,2022,6,3,42,,
081,33,3,2002,2022,6,1,6,,
081,33,4,2002,2022,6,1,3,,
081,33,5,2002,2022,6,0,0,,
081,33,6,2002,2022,6,0,0,,
081,33,7,2002,2022,6,1,8,,
081,33,8,2002,2022,6,0,0,,
081,33,9,2002,2022,6,0,0,,
081,33,10,2002,2022,6,0,0,,
081,33,11,2002,2022,6,2,17,,
081,33,12,2002,2022,6,2,25,,
081,33,13,2002,2022,6,0,0,,
081,33,14,2002,2022,6,1,3,,
081,33,16,2002,2022,6,2,30,,
081,33,17,2002,2022,6,2,16,,
081,33,18,2002,2022,6,0,0,,
081,33,19,2002,2022,6,0,0,,
081,33,20,2002,2022,6,0,0,,
081,33,21,2002,2022,6,1,3,,
081,33,22,2002,2022,6,0,0,,
081,33,23,2002,2022,6,0,0,,
081,33,24,2002,2022,6,0,0,,
081,33,25,2002,2022,6,0,0,,
081,34,1,2002,2022,6,3,40,,
081,34,2,2002,2022,6,3,45,,
081,34,3,2002,2022,6,0,0,,
081,34,4,2002,2022,6,1,7,,
081,34,5,2002,2022,6,0,0,,
081,34,6,2002,2022,6,0,0,,
081,34,7,2002,2022,6,0,0,,
081,34,8,2002,2022,6,0,0,,
081,34,9,2002,2022,6,1,8,,
081,34,10,2002,2022,6,0,0,,
081,34,11,2002,2022,6,0,0,,
081,34,13,2002,2022,6,1,12,,
081,34,14,2002,2022,6,1,2,,
081,34,15,2002,2022,6,2,30,,
081,34,16,2002,2022,6,2,30,,
081,34,17,2002,2022,6,3,43,,
081,34,18,2002,2022,6,2,18,,
081,34,19,2002,2022,6,1,8,,
081,34,20,2002,2022,6,0,0,,
081,34,21,2002,2022,6,0,0,,
081,34,22,2002,2022,6,0,0,,
081,34,24,2002,2022,6,1,5,,
081,34,25,2002,2022,6,1,6,,
081,35,2,2002,2022,6,3,47,,
081,35,3,2002,2022,6,2,28,,
081,35,4,2002,2022,6,2,12,,
081,35,5,2002,2022,6,0,0,,
081,35,6,2002,2022,6,0,0,,
