field,row,tree,yplant,year,month,nb_bunch,nb_fr,nb_abfr
095,24,4,2005,2022,1,1,7,
095,24,5,2005,2022,1,2,21,
095,24,6,2005,2022,1,1,10,
095,24,7,2005,2022,1,0,0,
095,24,8,2005,2022,1,2,22,
095,24,9,2005,2022,1,0,0,
095,24,10,2005,2022,1,0,0,
095,24,11,2005,2022,1,0,0,
095,24,12,2005,2022,1,2,28,
095,24,13,2005,2022,1,3,35,
095,24,14,2005,2022,1,0,0,
095,24,15,2005,2022,1,1,9,
095,24,16,2005,2022,1,2,22,
095,24,17,2005,2022,1,3,31,
095,24,18,2005,2022,1,2,20,
095,24,19,2005,2022,1,0,0,
095,24,20,2005,2022,1,1,7,
095,24,21,2005,2022,1,0,0,
095,24,22,2005,2022,1,2,27,
095,24,23,2005,2022,1,1,10,
095,24,24,2005,2022,1,3,41,
095,24,25,2005,2022,1,1,4,
095,24,26,2005,2022,1,3,38,
095,25,1,2005,2022,1,2,16,
095,25,2,2005,2022,1,2,25,
095,25,3,2005,2022,1,3,40,
095,25,4,2005,2022,1,2,30,
095,25,5,2005,2022,1,1,13,
095,25,6,2005,2022,1,2,22,
095,25,7,2005,2022,1,2,26,
095,25,8,2005,2022,1,1,15,
095,25,9,2005,2022,1,2,34,
095,25,11,2005,2022,1,2,40,
095,25,13,2005,2022,1,0,0,
095,25,14,2005,2022,1,0,0,
095,25,15,2005,2022,1,0,0,
095,25,16,2005,2022,1,1,5,
095,25,17,2005,2022,1,1,10,
095,25,18,2005,2022,1,0,0,
095,25,19,2005,2022,1,2,15,
095,25,20,2005,2022,1,2,16,
095,25,21,2005,2022,1,0,0,
095,25,22,2005,2022,1,2,24,
095,25,23,2005,2022,1,0,0,
095,25,24,2005,2022,1,0,0,
095,25,26,2005,2022,1,0,0,
095,26,1,2005,2022,1,3,32,
095,26,2,2005,2022,1,1,12,
095,26,3,2005,2022,1,2,20,
095,26,4,2005,2022,1,2,22,
095,26,5,2005,2022,1,2,21,
095,26,6,2005,2022,1,3,51,
095,26,7,2005,2022,1,2,24,
095,26,8,2005,2022,1,3,36,
095,26,9,2005,2022,1,1,8,
095,26,10,2005,2022,1,3,47,
095,26,13,2005,2022,1,1,13,
